StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q3,Q4,Q23_First Click,Q23_Last Click,Q23_Page Submit,Q23_Click Count,Q100,Q101,Q102,Q103,Q104,Q105,Q106,Q107,Q108,Q109,Q110,Q111,Q112,Q113,ID,sourcefile,gender,age,Message,string,V,U,index_U,Y
2020-08-13 02:59:07,2020-08-13 03:08:24,0,100,556,1,2020-08-13 03:08:24,R_3m82csxLbVts9Ts,anonymous,EN,1,1,0,0,48.524,0,0,3,3,3,3,3,3,3,1,3,2,3,3,3,1,"F-OLD-R_August+13,+2020_08.25.csv",F,OLD,NA,woman over 50 years old,2,1,2,36
2020-08-13 03:47:46,2020-08-13 03:50:44,0,100,178,1,2020-08-13 03:50:45,R_Uzs3DjETxhC8SEF,anonymous,EN,1,1,26.799,46.026,47.449,3,0,3,3,3,3,3,3,3,4,3,3,4,4,3,2,"F-OLD-R_August+13,+2020_08.25.csv",F,OLD,NA,woman over 50 years old,2,2,2,42
2020-08-13 05:46:34,2020-08-13 05:49:25,0,100,170,1,2020-08-13 05:49:25,R_1imTPNLGyHwLXIs,anonymous,EN,1,1,0,0,70.785,0,1,1,2,2,2,2,3,4,2,3,4,4,4,1,3,"F-OLD-R_August+13,+2020_08.25.csv",F,OLD,NA,woman over 50 years old,2,3,2,34
2020-08-13 06:17:10,2020-08-13 06:19:58,0,100,167,1,2020-08-13 06:19:58,R_2zckyFBb2WsrKIT,anonymous,EN,1,1,0,0,80.322,0,1,4,3,3,3,3,4,3,3,3,3,4,4,1,4,"F-OLD-R_August+13,+2020_08.25.csv",F,OLD,NA,woman over 50 years old,2,4,2,41
2020-08-14 07:44:05,2020-08-14 07:49:03,0,100,298,1,2020-08-14 07:49:04,R_UGu7wiCGjHvt6AV,anonymous,EN,1,1,0,0,138.698,0,1,1,2,1,1,0,0,2,0,1,3,4,2,1,5,"F-OLD-R_August+14,+2020_12.03.csv",F,OLD,NA,woman over 50 years old,2,1,6,18
2020-08-14 08:53:41,2020-08-14 08:55:52,0,100,131,1,2020-08-14 08:55:53,R_20Y8rESuHnLxFCj,anonymous,EN,1,1,0,0,43.558,0,1,0,2,2,1,0,2,2,0,1,2,4,2,0,6,"F-OLD-R_August+14,+2020_12.03.csv",F,OLD,NA,woman over 50 years old,2,2,6,18
2020-08-14 09:22:19,2020-08-14 09:24:47,0,100,148,1,2020-08-14 09:24:47,R_2aKtqh914zZQ9ZL,anonymous,EN,1,1,0,0,53.287,0,1,0,1,1,0,1,1,1,0,0,1,4,0,1,7,"F-OLD-R_August+14,+2020_12.03.csv",F,OLD,NA,woman over 50 years old,2,3,6,11
2020-08-14 10:24:51,2020-08-14 10:27:37,0,100,165,1,2020-08-14 10:27:37,R_3Mg5UXf1KEXqVaM,anonymous,EN,1,1,0,0,80.813,0,1,4,3,4,4,3,4,4,3,4,4,3,4,4,8,"F-OLD-R_August+14,+2020_12.03.csv",F,OLD,NA,woman over 50 years old,2,4,6,48
2020-08-13 03:00:25,2020-08-13 03:02:21,0,100,115,1,2020-08-13 03:02:21,R_2c5i5H3Fevahaqw,anonymous,EN,1,1,3.483,29.534,44.834,3,1,4,3,3,3,3,3,4,4,4,2,4,4,4,1,"F-YOUNG-R_August+13,+2020_08.24.csv",F,YOUNG,NA,woman under 30 years old,1,1,1,45
2020-08-13 03:46:46,2020-08-13 03:49:18,0,100,151,1,2020-08-13 03:49:18,R_1mkCrKFuLrWNbjX,anonymous,EN,1,1,0,0,41.752,0,1,3,3,3,3,2,3,3,3,3,1,3,3,3,2,"F-YOUNG-R_August+13,+2020_08.24.csv",F,YOUNG,NA,woman under 30 years old,1,2,1,36
2020-08-13 05:45:18,2020-08-13 05:48:46,0,100,207,1,2020-08-13 05:48:46,R_2Y4dBSGZdVxLw83,anonymous,EN,1,1,0,0,33.501,0,1,0,0,0,0,0,0,0,1,0,1,3,1,1,3,"F-YOUNG-R_August+13,+2020_08.24.csv",F,YOUNG,NA,woman under 30 years old,1,3,1,7
